fiscal_year,contracting_agency_name,contracting_office_name,dollars_obligated,funding_office_name,psc_description,psc,vendor_name
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3933.16,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1661.61,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,17741.63,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3326.72,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,10946.44,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,8029.49,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15567.78,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4626.63,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1652.42,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4917.85,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,22.3,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,837.52,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2021Q4,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,862.06,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,"CARDINAL HEALTH 200, LLC"
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1718.7,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4124.82,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,282.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1462.53,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6698.85,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6395.3,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,9425.08,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1190.32,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,12836.01,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,486.21,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"BROTHERS PRODUCE OF DALLAS, INC."
FY2017Q1,DEFENSE LOGISTICS AGENCY,DLA ENERGY,3723.82,DLA ENERGY,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9130,"FLETCHER OIL CO., INC."
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,9723.24,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,33933.63,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4.85,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,14308.35,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2604.73,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15493.28,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2006.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,8286.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,22302.13,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1506.69,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"BROTHERS PRODUCE OF DALLAS, INC."
FY2019Q3,DEPT OF THE ARMY,W6QK ACC-APG,2500.0,W00Y CONTR OFC DODAAC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH),AC61,BOOZ ALLEN HAMILTON INC.
FY2019Q3,DEPT OF THE ARMY,W4MM USA JOINT MUNITIONS CMD,309790.74,W6B9 USAG ROCK ISLAND ARSENAL,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,S216,ROCK ISLAND INTEGRATED SERVICES
FY2019Q3,DEPT OF THE ARMY,W6QK ACC-RSA,0.0,W6DV PEO M&S REDSTONE,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,R425,"SRC, INC."
FY2019Q3,DEPT OF THE ARMY,W6QK ACC-APG,0.0,W4GV USA HQ COMM ELECT CMD,"MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",J017,"INTERNATIONAL ENTERPRISES, INC."
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1660.31,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3732.34,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,33053.78,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,70517.46,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6702.16,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7569.92,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,366.48,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,8256.23,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,11676.72,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,45689.81,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1906.11,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,23278.13,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3357.82,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,50232.06,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,44.4,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5212.37,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2838.52,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3974.54,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,28201.39,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,3716.07,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,29297.69,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2853.06,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2830.69,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,643.2,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2080.39,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,24193.25,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1479.01,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2028.53,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4496.09,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1900.37,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4551.21,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,21383.19,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4332.72,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,188.0,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,36.8,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,32.9,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,401.75,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,50809.09,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,38050.44,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15611.67,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,34.22,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4245.25,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2746.14,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,62362.83,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,21109.74,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,412.89,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15791.26,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2837.78,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,10890.56,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1805.42,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2021Q4,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,348.04,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,"CARDINAL HEALTH 200, LLC"
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,29504.12,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1632.41,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,301.73,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4030.07,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1838.6,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,16740.52,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1330.52,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2948.67,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4051.21,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,553.58,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"BROTHERS PRODUCE, INCORPORATED"
FY2021Q4,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,449.1,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,"CARDINAL HEALTH 200, LLC"
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,18658.15,DLA TROOP SUPPORT,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",6515,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2.82,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4777.46,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,18753.02,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,6616.58,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2164.9,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4995.34,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,104668.95,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4582.64,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2022Q1,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,309.75,DLA TROOP SUPPORT,FRUITS AND VEGETABLES,8915,"BROTHERS PRODUCE OF DALLAS, INC."
